episode,total_reward,steps,exit_reason
0,-337,37,terminated
1,-236,36,terminated
2,-36,36,terminated
3,-133,33,terminated
4,-136,36,terminated
5,-238,38,terminated
6,-133,33,terminated
7,-236,36,terminated
8,-339,39,terminated
9,-233,33,terminated
10,66,34,terminated
11,-140,40,terminated
12,-133,33,terminated
13,-235,35,terminated
14,-135,35,terminated
15,-32,32,terminated
16,-337,37,terminated
17,-135,35,terminated
18,-34,34,terminated
19,72,28,terminated
20,-135,35,terminated
21,69,31,terminated
22,-34,34,terminated
23,-235,35,terminated
24,-35,35,terminated
25,-36,36,terminated
26,-134,34,terminated
27,-137,37,terminated
28,67,33,terminated
29,-134,34,terminated
30,-238,38,terminated
31,-135,35,terminated
32,-133,33,terminated
33,-135,35,terminated
34,68,32,terminated
35,-32,32,terminated
36,66,34,terminated
37,-33,33,terminated
38,-238,38,terminated
39,-33,33,terminated
40,-234,34,terminated
41,70,30,terminated
42,-135,35,terminated
43,-236,36,terminated
44,-32,32,terminated
45,-33,33,terminated
46,-32,32,terminated
47,-31,31,terminated
48,-33,33,terminated
49,-441,41,terminated
50,-238,38,terminated
51,-337,37,terminated
52,-37,37,terminated
53,-33,33,terminated
54,67,33,terminated
55,70,30,terminated
56,-33,33,terminated
57,-240,40,terminated
58,-337,37,terminated
59,-34,34,terminated
60,-36,36,terminated
61,-238,38,terminated
62,-236,36,terminated
63,-133,33,terminated
64,-339,39,terminated
65,-135,35,terminated
66,-33,33,terminated
67,-337,37,terminated
68,-35,35,terminated
69,-136,36,terminated
70,-137,37,terminated
71,-135,35,terminated
72,-339,39,terminated
73,-36,36,terminated
